"","dataset$id[!is.na(dataset$id)]","Obrashenie","cluster"
"1","4","Господин Аким, нужно признать Алматы зоной экологического бедствия! И незамедлительно, жестко решать этот вопрос. Спасибо",3
"2","5","Добрый день. Отличная стратегия! Мое агент, что экология настолько плоха , что нужно выводить на первое место. Также в приоритете должна быть безопасность, особенно безопасность наших детей- единицы родителей могут отпустить детей в школу одних. Такого никогда не было в моем детстве : сколько насильников, педофилов и криминала развелось! Чего не нашла : фокус на развитии детей : бесплатный спорт для детей, секции, искусство , кружки. Знаете сколько стоит например отдать ребёнка на коньки - от 100 до 250 тыс в мес ! Лёд - платный 3 тыс тг в час , тренера платные . Как растить детей , если все вокруг платное ?  Что ещё бы хотела  предложить : развитие казахского языка и культуры ! Можно же организовать изучение языка для взрослых и детей, культурные центры Каз языка и культуры . Ещё немаловажная тема: мусор ! Раздельный сбор мусора, сортировка начиная от жителей. Почему не издать указ о раздельном сборе мусора? И заставлять всех делать это ? Мы же скоро будем жить посреди мусорной кучи! Или поддержите бизнес: сколько сейчас молодых компаний, которые хотят этим заниматься. И последнее наболевшее: хорошо, что вы затронули тему туризма ! Давно пора! Алматы заслуживает быть центром туризма для всего мира !   Со своей стороны и гражданской позиции готова внести любой вклад в любой проект , быть амбасадором , участвовать 
Спасибо ! Марина",3
"3","6","Добрый день, не согласен со стратегией изменения транспортной инфраструктуры в пользу общественного транспорта, так как это не решит ряд проблем. Опять же идёт ущемления прав автовладельцев за счёт уменьшения мест парковок и приоритета общественного транспорта. Проблема заключается в том, что каждый день в город въезжает огромное количество автомобилей из регионов. В пробках часто можно видеть как на один алматинский автомобиль приходится до пяти автомобилей с региональными номерами, очень часто такие автомобили находятся в аварийном состоянии, которое портит окружающую среду и создаёт аварийную ситуацию на дорогах. Я не говорю уже про то что владельцы данных авто в большинстве случаев вообще не имеют понятия о культуре вождения. Тем более, что владельцы данных авто чаще всего зарабатывают на жизнь частным извозом, а если и приезжают в город по делам или на работу то им нет смысла пересаживаться по несколько раз на общественный транспорт, так как все перехватывающие парковки в городе заняты под точечное строительство бизнес центров (яркий пример перекресток Жарокова Абая). Таким образом создаётся ряд проблем для алматинский автомобилистов: загруженность улиц, ужасная экологическая обстановка, нервозность на дорогах, проблема парковок. Считаю необходимым ограничить въезд в город для иногороднего транспорта, построить перехватывающие парковки на подъездах к городу и обеспечить их общественным транспортом. Предприятия можно обязать для сотрудников обеспечивать развозки, это сократит количество машин в утренние часы, школьников можно так же развозить на частных автобусах хотя бы в утренние часы. Тогда родителям не зачем будет брать автомобиль если они будут знать что могут спокойно уехать на развозке от предприятия, а в школу их детей отвезёт школьный автобус. Надеюсь моё предложение будет Вам полезно. Спасибо.",3
"4","7","<U+049A>ымбатты Алматы <U+049B>аласыны<U+04A3> <U+04D9>кімі Бакытжан <U+04D8>бдір<U+04B1>лы Сізге <U+049A>аза<U+049B>станда<U+0493>ы е<U+04A3> ірі ж<U+04D9>не ма<U+04A3>ызды <U+049B>алаларды<U+04A3> біріне <U+04E9>згеріс енгізу,дамыту м<U+04AF>мкіндігі беріліп отыр.Осы м<U+04AF>мкіндікті д<U+04B1>рыс <U+049B>олдануы<U+04A3>ызды с<U+04B1>раймын.1)<U+049A>о<U+0493>амды<U+049B> ке<U+04A3>есте халы<U+049B>ты<U+04A3> сеніміне ие бол<U+0493>ан,адал азаматтар болуы шарт. <U+049A>азіргі та<U+04A3>да тек <U+049A>азыбек Шайхты<U+04A3> ол жерде болуы сенім тудырмайды. Ол 64-азамат<U+049B>а жал<U+0493>ан сертификат беріп,президент ба<U+0493>дарламасын б<U+04B1>рмалан<U+0493>ан.2)Алматы <U+049B>аласы жастар <U+049B>аласы,Жастарымыз болаша<U+0493>ымыз. Жата<U+049B>хана м<U+04D9>селесін шешу керек. <U+04D8>рт<U+04AF>рлі м<U+04AF>мкін,келе<U+04A3>сіз д<U+04AF>ниелер емес,жата<U+049B>хана салу керек.3)<U+049A>аламызда ескі <U+04AF>йлер жеткілікті сол <U+04AF>йлерді<U+04A3> жасау ж<U+04B1>мыстарын жандандыру керек. 4)Е<U+04A3> негізгі м<U+04D9>селе экология а<U+0493>аштар егу к<U+04E9>галдандыру ж<U+04B1>мыстары. 5)Саяба<U+049B>тарда <U+049B>о<U+049B>ыс ж<U+04D9>шіктері аз.6)Ж<U+04B1>мыс орындары жо<U+049B>.7)<U+049A>о<U+049B>ыс <U+04E9><U+04A3>дейтін кішкене к<U+04D9>сіпорын ашу керек. 8)<U+049A>о<U+0493>амды<U+049B> к<U+04E9>ліктерді к<U+04E9>бейту керек.9)Ескі трамвай депосыны<U+04A3> орнына арнайы мектеп салу керек.10)Ж<U+04B1>мыспен <U+049B>амту орталы<U+0493>ыны<U+04A3> ж<U+04B1>мысын аудиторлы<U+049B> тексеруден <U+04E9>ткізіп,жекелікке беру керек.
<U+049A><U+04B1>рметпен Жан Шын<U+0493>ыс Кенджа<U+049B>ын<U+04B1>лы.",3
"5","8","сайт almaty-2050.kz слишком долго загружается. 
если будет возможность скачать стратегию в PDF формате, было бы удобнее. 
так же, можно было бы распечатать документ и делать пометки.",4
"6","9","Спасибо за вынос стратегии развития города Алматы на обсуждение. При ознакомлении к сожалению не нашла раздела про бездомных животных, которых к сожалению у нас очень много, какие планы по решению данной проблемы у акимата???
Необходимо стерилизовать животных, и финансировать приюты, активно вести политику с населением на предмет гуманного обращения, проявления заботы и ответственности за домашних питомцев, которых часто выбрасывают на улицу.",3
"7","10","Здравствуйте. Нужно гуманизировать отношение к уличным животным. Кастрировать, прививать, вешать бирку и отпускать например. Вроде как в Грузии так делают. В Ташкенте стали строить уличные домики для животных.

Также по части попрошаек. Она не искоренится, если ловить попрошаек - они часто являются жертвами эксплуатации. Предлагаю начать ловить глав попрошайнических семей, а их ""жертв"" определять в реабилитационные центры с обучением и пристраиванием на работу (плюс выделением комнат в общагах, когда человек найдёт работу). 

Также прошу облегчить условия для усыновления детей.",3
"8","11","Как Вы планируете повышать культуру 90 %населения Казахстана. Ведь у нас народ совершенно бескультурный.",3
"9","12","Здравствуйте пожалуиста проследите чтобы после ремонтных работ на улицах Города за собой провели порядок спасибо",5
"10","13","Добрый день,

1) Разберитесь с мафией под названием КСК (председатели сидят десятилетиями), никто сменить их не может, общее собрание миф, никогда не собрать всех жильцов. Больше контроля над председателями со стороны акиматов нужно! Бросил акимат жильцов на КСК и все.
Сделайте срок действия полномочий председателя (2 года например) После обязательное переизбрание с участием акимата. Сделайте старшего по каждому дому\подъезду, они будут выбирать председателя. Проверки фин деятельности КСК со стороны акимата нужны постоянные, деньги собирают они немалые. А куда ??

2) Нужно ограничить въезд иногородних машин в г.Алматы, лихие таксистов куча и прочие зачем нужны здесь ? Пусть будет пошлина, налог и тд, это нормально, практика больших централизированных городов. Кто работает пусть оставляет машину на въезде в город, дальше общественный транспорт.

3) Ужесточить контроль за съемными квартирами, устраивают сходки, гулянки не понятные люди, без постоянной работы, ночами ходят туда сюда, шумят.

4) Участвковых не видно, вообще не видно. Должны обходы делать ПОСТОЯННЫЕ, за курение и мусор, собак без намордников беседы проводить. Или их мало на участках, или они не хотят работать. Количество участковых коррелировать с населенностью конкретного района, ясное дело что в спальных районах нужно больше.",3
