id,name,brand_id,url_part,category_id
10,"Liquid X2",4,acer_liquid_x2,1
11,"Liquid Zest Plus",4,acer_liquid_zest_plus,1
15,"ZenFone 5 ZE620KL",6,asus_zenfone_5_2018,1
17,"Zenfone Max (M1) ZB555KL",6,asus_zenfone_max_m1_zb555kl,1
20,"Liquid E2 Duo",4,acer_liquid_e2_duo,1
24,"neoTouch P400",4,acer_neotouch_p400,1
25,"Liquid e",4,acer_liquid_e,1
43,"Aquaris X",35,bq_aquaris_x,1
44,Maya,34,bluboo_maya,1
48,X6,34,bluboo_x6,1
52,Terra,37,bravis_terra,1
57,"Cat S60",41,caterpillar_cat_s60,1
62,"А502 Aurum",61,ergo_a502_aurum,1
63,A7,58,effire_a7,1
80,"Power Plus XXL FS530",68,fly_power_plus_xxl_fs530,1
81,Onyx,65,explay_onyx,1
88,S5140,74,ginzzu_s5140,1
89,"RS74 Dual",74,ginzzu_rs74_dual,1
98,X650,73,e_ten_glofiish_x650,1
106,G500+,73,e_ten_g500p,1
113,X600,73,e_ten_glofiish_x600,1
116,A1,86,geotel_a1,1
117,Note,86,geotel_note,1
120,"Gpower 1",84,gfive_gpower_1,1
130,HG04,95,huadoo_hg04,1
131,10,98,honor_10,1
132,7С,98,honor_7c,1
135,"Elite X3",97,hp_elite_x3,1
146,"Spark 2",103,highscreen_spark_2,1
147,Tasty,103,highscreen_tasty,1
148,"Power Five EVO",103,highscreen_power_five_evo,1
150,"Boost 3 SE",103,highscreen_boost_3se,1
151,"ICE 2",103,highscreen_ice_2,1
153,"Zera S Power",103,highscreen_zera_s_power,1
154,"Alpha Ice",103,highscreen_alpha_ice,1
156,U3,125,iuni_u3,1
159,Smartphone,126,jelly_smartphone,1
162,"S3 Advanced",129,jiayu_s3,1
166,"Basco M500 3G",130,jinga_basco_m500_3g,1
171,G2,129,jiayu_g2,1
172,G3,129,jiayu_g3,1
178,"Pure 2",154,m_horse_pure_2,1
180,"Pure 1",154,m_horse_pure_1,1
183,London,156,marshall_london,1
195,K18,173,newman_k18,1
201,F7,185,oppo_f7,1
206,"Find 7",185,oppo_find_7,1
209,S3030,189,own_s3030,1
213,"Pacific 454",190,oysters_pacific_454,1
236,M910,215,s_tell_m910,1
238,M477,215,s_tell_m477,1
240,U1,224,smartisan_u1,1
241,M1,224,smartisan_m1,1
243,"Nut Pro 2 4/32/64",224,smartisan_nut_pro_2,1
246,"AQUOS PHONE Xx 303SH Mini",230,sharp_aquos_phone_xx_303sh_mini,1
248,"Aquos Crystal X",230,sharp_aquos_crystal_x,1
254,"AQUOS Phone SH-930W",230,sharp_aquos_phone_sh930w,1
257,"AQUOS SH837W",230,sharp_aquos_sh837w,1
262,"Galaxy S9 Exynos",227,samsung_galaxy_s9,1
263,"Galaxy S9 Plus Snapdragon",227,samsung_galaxy_s9_plus,1
264,"Galaxy J2 (2018) J250F/DS",227,samsung_galaxy_j2_2018,1
265,"Galaxy A6 SM-A600FZ",227,samsung_galaxy_a6,1
267,E400,232,senseit_e400,1
268,A109,232,senseit_a109,1
276,"Neffos C5",243,tp_link_neffos_c5,1
277,"Neffos C5L TP601A",243,tp_link_neffos_c5l,1
279,"Neffos Y5L",243,tp_link_neffos_y5l,1
288,"Portege G500",244,toshiba_portege_g500,1
296,Mix,258,ulefone_mix,1
297,"Mix 2",258,ulefone_mix_2,1
298,S7,258,ulefone_s7,1
300,"Power 3",258,ulefone_power_3,1
303,Metal,258,ulefone_metal,1
307,"Be Touch 2",258,ulefone_be_touch_2,1
308,Paris,258,ulefone_paris,1
309,"Be Touch 3",258,ulefone_be_touch_3,1
311,X1,259,umi_x1,1
312,Z6,279,zoji_z6,1
313,Z7,279,zoji_z7,1
315,"Blade V9 3/32",281,zte_blade_v9,1
319,"Nubia Z18 Mini",281,zte_nubia_z18_mini,1
320,Z1,282,zuk_z1,1
321,Z2,282,zuk_z2,1
322,"Про 3",283,bilain_pro_3,1
324,"Смарт 5",283,bilain_smart_5,1
328,E400,283,beeline_e400,1
329,"Смарт 3",283,bilain_smart_3,1
330,Про,283,beeline_pro,1
333,"Pro 4",283,beeline_pro_4,1
334,"Smart 8",283,beeline_smart_8,1
340,733,285,mts_733,1
342,Evo,285,mts_evo,1
345,916,285,mts_916,1
354,Viva,285,mts_viva,1
355,Fit,285,mts_fit,1
356,970,285,mts_970,1
359,972,285,mts_972,1
363,"Smart Run 4G",285,mts_smart_run_4g,1
364,"Smart Sprint 4G",285,mts_smart_sprint_4g,1
365,"Smart Race 4G",285,mts_smart_race_4g,1
366,"Smart Start 2",285,mts_smart_start_2,1
367,"Smart Surf 4G",285,mts_smart_surf_4g,1
368,"Smart Surf 2 4G",285,mts_smart_surf_2_4g,1
370,"Z2 Pro 4/64",282,zuk_z2_pro,1
371,Edge,282,zuk_edge,1
373,"Login 3",284,megafon_login_3_sm,1
376,"SP-A20i Mint",284,megafon_sp_a20i_mint,1
377,Login,284,megafon_login_sp_a1,1
385,"Login 2",284,megafon_login_2,1
387,Optima,284,megafon_optima,1
388,Login+,284,megafon_login_plus,1
