id,user_id,name,url_part,accessory
37,11138,"Xiaomi Mi 5",xiaomi_mi5,
38,11138,"Sony Xperia Z1 Compact",sony_xperia_z1_compact,
39,11138,"Sony Xperia Z3 Compact D5803,D5833",sony_xperia_z3_compact,
40,11138,"Sony Xperia S",sony_xperia_s,
77,15307,"Samsung Galaxy S4 LTE GT-I9505",samsung_gt_i9500_galaxy_s_4:lte,
165,25675,"Apple iPhone 5s",apple_iphone_5s,
210,31553,"Xiaomi Mi Max Standard",xiaomi_mi_max,
211,31553,"Google Nexus 4",google_nexus_4,
212,31553,"Sony Tablet S",sony_tablet_s,
213,31553,"ZTE Blade S6",zte_blade_s6,
214,31553,"Xiaomi Redmi Note 2",xiaomi_redmi_note_2,
294,41949,"Xiaomi Redmi Note 4 3/64",xiaomi_redmi_note_4:prime,
341,51062,"Xiaomi Mi Max 2 4/64",xiaomi_mi_max_2,
355,53727,"Motorola Moto X Force Droid turbo 2",motorola_moto_x_force,
403,60245,"Asus ZenFone 2 ZE551ML",asus_zenfone_2,
404,60245,"Motorola RAZR",motorola_razr,
405,60245,"Huawei U8800 Ideos X5 Pro",huawei_u8800_ideos_x5_pro,
406,60245,"Archos 43 Internet Tablet",archos_43_internet_tablet,
499,74686,"InFocus M560",infocus_m560,
500,74686,"HTC Desire 601",htc_desire_601,
504,76566,"Xiaomi Mi 5S 3/64",xiaomi_mi_5s,
505,76524,"BlackBerry Z30",blackberry_z30,
701,91869,"Samsung Galaxy S6 Edge SM-G925F",samsung_sm_g925f_galaxy_s6_edge,
739,94439,"Motorola Moto X (2nd Gen)",motorola_moto_x_2nd_gen,
1030,113843,"Motorola Moto Z Play",motorola_moto_z_play," ASUS ZenWatch 2 + Mi Band Pulse + Jabra Extrem 2 ect."
1031,113843,"Chuwi Hi12",chuwi_hi12,"Клавиатура "
1093,118459,"Meizu Pro 5",meizu_pro_5,
1115,120790,"Xiaomi Redmi 3X",xiaomi_redmi_3x,
1116,120790,"Fly Energie IQ440",fly_iq440_energie,
1155,122337,NULL,,
1213,126496,"Google Nexus 6",google_nexus_6,
1459,142649,"Google Nexus 6",google_nexus_6,
1460,142649,"Samsung Galaxy Tab Pro 8.4 LTE",samsung_galaxy_tab_pro_8_4:lte,
1461,142649,"Palm Pixi GSM",palm_pixi_gsm,
1462,142649,"PiPO W4",pipo_w4,
1463,142649,"Asus ZenFone 2 ZE551ML",asus_zenfone_2,
1479,143838,"Honor 9",honor_9,
1480,143838,"Samsung Galaxy J7 (2017) SM-J730F/DS",samsung_samsung_galaxy_j7_2017,
1481,143838,"Samsung Galaxy Note 10.1",samsung_galaxy_note_10_1,
