user_id,question_id,answer_point
2,1,4
2,2,5
2,3,5
2,4,4
2,5,5
2,6,3
2,7,4
2,8,4
2,9,3
2,10,3
2,11,4
2,12,4
2,13,4
2,14,5
2,15,4
2,16,3
2,17,3
2,18,4
2,19,3
2,20,2
2,21,2
2,22,3
2,23,4
2,24,2
2,25,5
2,26,3
2,27,4
2,28,4
2,29,2
2,30,5
2,31,3
2,32,3
2,33,4
2,34,3
2,35,4
2,36,3
2,37,3
2,38,4
2,39,5
2,40,5
2,41,3
2,42,4
2,43,5
2,44,5
2,45,5
2,46,3
2,47,4
2,48,3
2,49,3
2,50,4
2,51,2
2,52,4
2,53,2
2,54,3
2,55,4
2,56,4
2,57,4
2,58,2
2,59,2
2,60,5
2,61,3
2,62,5
2,63,4
2,64,2
2,65,2
2,66,4
2,67,4
2,68,4
2,69,3
2,70,2
2,71,3
2,72,4
2,73,2
2,74,4
2,75,5
1,1,3
1,2,3
1,3,3
1,4,3
1,5,3
1,6,3
1,7,3
1,8,3
1,9,3
1,10,3
1,11,3
1,12,3
1,13,3
1,14,3
1,15,3
1,16,3
1,17,3
1,18,3
1,19,3
1,20,3
1,21,3
1,22,3
1,23,3
1,24,3
1,25,3
1,26,3
1,27,3
1,28,3
1,29,3
1,30,3
1,31,3
1,32,3
1,33,3
1,34,3
1,35,3
1,36,3
1,37,3
1,38,3
1,39,3
1,40,3
1,41,3
1,42,3
1,43,3
1,44,3
1,45,3
1,46,3
1,47,3
1,48,3
1,49,3
1,50,3
1,51,3
1,52,3
1,53,3
1,54,3
1,55,3
1,56,3
1,57,3
1,58,3
1,59,3
1,60,3
1,61,3
1,62,3
1,63,3
1,64,3
1,65,3
1,66,3
1,67,3
1,68,3
1,69,3
1,70,3
1,71,3
1,72,3
1,73,3
1,74,3
1,75,3
3,1,5
3,2,5
3,3,5
3,4,1
3,5,4
3,6,1
3,7,4
3,8,1
3,9,1
3,10,1
3,11,4
3,12,4
3,13,5
3,14,1
3,15,1
3,16,5
3,17,1
3,18,5
3,19,1
3,20,1
3,21,5
3,22,5
3,23,5
3,24,1
3,25,1
3,26,4
3,27,4
3,28,4
3,29,1
3,30,4
3,31,5
3,32,1
3,33,5
3,34,1
3,35,1
3,36,1
3,37,1
3,38,5
3,39,1
3,40,1
3,41,5
3,42,1
3,43,5
3,44,1
3,45,1
3,46,4
3,47,4
3,48,4
3,49,2
3,50,4
3,51,1
3,52,2
3,53,5
3,54,1
3,55,1
3,56,2
3,57,5
3,58,5
3,59,1
3,60,5
3,61,4
3,62,5
3,63,5
3,64,1
3,65,5
3,66,4
3,67,5
3,68,1
3,69,1
3,70,5
3,71,1
3,72,4
3,73,5
3,74,1
3,75,5
6,1,2
6,2,1
6,3,4
6,4,2
6,5,4
6,6,2
6,7,1
6,8,4
6,9,2
6,10,5
6,11,4
6,12,4
6,13,5
6,14,5
6,15,1
6,16,5
6,17,1
6,18,4
6,19,5
6,20,2
6,21,2
6,22,1
6,23,4
6,24,4
6,25,5
6,26,5
6,27,2
6,28,2
6,29,5
6,30,5
6,31,1
6,32,1
6,33,4
6,34,4
6,35,4
6,36,1
6,37,1
6,38,2
6,39,5
6,40,1
6,41,1
6,42,1
6,43,5
6,44,4
6,45,1
6,46,2
6,47,1
6,48,4
6,49,2
6,50,2
6,51,2
6,52,1
6,53,4
6,54,4
6,55,2
6,56,1
6,57,1
6,58,2
6,59,4
6,60,5
6,61,4
6,62,2
6,63,4
6,64,5
6,65,2
6,66,5
6,67,2
6,68,2
6,69,5
6,70,5
6,71,4
6,72,4
6,73,4
6,74,4
6,75,4
7,1,4
7,2,4
7,3,2
7,4,2
7,5,4
7,6,1
7,7,5
7,8,1
7,9,3
7,10,4
7,11,4
7,12,4
7,13,4
7,14,2
7,15,5
7,16,5
7,17,1
7,18,5
7,19,1
7,20,5
7,21,4
7,22,4
7,23,4
7,24,3
7,25,4
7,26,5
7,27,5
7,28,2
7,29,4
7,30,5
7,31,2
7,32,1
7,33,4
7,34,1
7,35,4
7,36,1
7,37,5
7,38,5
7,39,5
7,40,1
7,41,2
7,42,3
7,43,5
7,44,3
7,45,2
7,46,4
7,47,2
7,48,4
7,49,3
7,50,4
7,51,4
7,52,3
7,53,4
7,54,4
7,55,4
7,56,3
7,57,4
7,58,4
7,59,3
7,60,4
7,61,3
7,62,4
7,63,4
7,64,5
7,65,3
7,66,3
7,67,4
7,68,3
7,69,4
7,70,4
7,71,2
7,72,3
7,73,4
7,74,3
7,75,5
10,1,5
10,2,5
10,3,4
10,4,3
10,5,5
10,6,4
10,7,2
10,8,5
10,9,5
10,10,1
10,11,5
10,12,3
10,13,5
10,14,5
10,15,4
10,16,3
10,17,4
10,18,2
10,19,4
10,20,5
10,21,4
10,22,4
10,23,5
10,24,5
10,25,5
10,26,3
10,27,4
10,28,5
10,29,4
10,30,5
10,31,5
10,32,4
10,33,5
10,34,5
10,35,5
10,36,4
10,37,4
10,38,5
10,39,5
10,40,5
10,41,5
10,42,1
10,43,5
10,44,2
10,45,5
10,46,3
10,47,2
10,48,4
10,49,3
10,50,1
10,51,1
10,52,3
10,53,5
10,54,3
10,55,4
10,56,5
10,57,5
10,58,5
10,59,3
10,60,5
10,61,4
10,62,5
10,63,5
10,64,5
10,65,4
10,66,5
10,67,4
10,68,5
10,69,5
10,70,1
10,71,3
10,72,3
10,73,5
10,74,5
10,75,5
11,1,5
11,2,4
11,3,5
11,4,4
11,5,2
11,6,5
11,7,1
11,8,3
11,9,5
11,10,4
11,11,4
11,12,5
11,13,5
11,14,5
11,15,3
11,16,5
11,17,5
11,18,4
11,19,5
11,20,5
11,21,5
11,22,4
11,23,5
11,24,4
11,25,4
11,26,4
11,27,5
11,28,5
11,29,5
11,30,5
11,31,2
11,32,1
11,33,4
11,34,5
11,35,4
11,36,1
11,37,2
11,38,5
11,39,5
11,40,5
11,41,1
11,42,1
11,43,4
11,44,5
11,45,2
11,46,5
11,47,4
11,48,5
11,49,4
11,50,1
11,51,4
11,52,2
11,53,4
11,54,5
11,55,3
11,56,4
11,57,5
11,58,5
11,59,5
11,60,5
11,61,4
11,62,3
11,63,3
11,64,5
11,65,3
11,66,2
11,67,3
11,68,4
11,69,4
11,70,1
11,71,3
11,72,5
11,73,5
11,74,5
11,75,5
12,1,3
12,2,4
12,3,2
12,4,4
12,5,5
12,6,1
12,7,5
12,8,4
12,9,4
12,10,3
12,11,3
12,12,4
12,13,5
12,14,5
12,15,3
12,16,5
12,17,5
12,18,2
12,19,4
12,20,1
12,21,3
12,22,4
12,23,4
12,24,3
12,25,4
12,26,4
12,27,5
12,28,4
12,29,3
12,30,5
12,31,3
12,32,2
12,33,4
12,34,2
12,35,5
12,36,3
12,37,5
12,38,4
12,39,5
12,40,4
12,41,3
12,42,4
12,43,4
12,44,4
12,45,5
12,46,4
12,47,5
12,48,2
12,49,4
12,50,3
12,51,1
12,52,5
12,53,2
12,54,2
12,55,3
12,56,3
12,57,4
12,58,1
12,59,2
12,60,4
12,61,3
12,62,4
12,63,2
12,64,3
12,65,3
12,66,4
12,67,5
12,68,3
12,69,3
12,70,2
12,71,1
12,72,5
12,73,2
12,74,4
12,75,5
14,1,2
14,2,4
14,3,5
14,4,2
14,5,4
14,6,2
14,7,2
14,8,2
14,9,3
14,10,2
14,11,3
14,12,3
14,13,3
14,14,3
14,15,3
14,16,3
14,17,3
14,18,3
14,19,3
14,20,3
14,21,3
14,22,3
14,23,3
14,24,3
14,25,3
14,26,3
14,27,3
14,28,3
14,29,3
14,30,3
14,31,3
14,32,3
14,33,3
14,34,3
14,35,3
14,36,3
14,37,3
14,38,3
14,39,3
14,40,3
14,41,3
14,42,3
14,43,3
14,44,3
14,45,3
14,46,3
14,47,3
14,48,3
14,49,3
14,50,3
14,51,3
14,52,3
14,53,3
14,54,3
14,55,3
14,56,3
14,57,3
14,58,3
14,59,3
14,60,3
14,61,3
14,62,3
14,63,3
14,64,3
14,65,3
14,66,3
14,67,3
14,68,3
14,69,3
14,70,3
14,71,3
14,72,3
14,73,3
14,74,3
14,75,3
16,1,3
16,2,3
16,3,3
16,4,3
16,5,3
16,6,3
16,7,3
16,8,3
16,9,3
16,10,3
16,11,3
16,12,3
16,13,3
16,14,3
16,15,3
16,16,3
16,17,3
16,18,3
16,19,3
16,20,3
16,21,3
16,22,3
16,23,3
16,24,3
16,25,3
16,26,3
16,27,3
16,28,3
16,29,3
16,30,3
16,31,3
16,32,3
16,33,3
16,34,3
16,35,3
16,36,3
16,37,3
16,38,3
16,39,3
16,40,3
16,41,3
16,42,3
16,43,3
16,44,3
16,45,3
16,46,3
16,47,3
16,48,3
16,49,3
16,50,3
16,51,3
16,52,3
16,53,3
16,54,3
16,55,3
16,56,3
16,57,3
16,58,3
16,59,3
16,60,3
16,61,3
16,62,3
16,63,3
16,64,3
16,65,3
16,66,3
16,67,3
16,68,3
16,69,3
16,70,3
16,71,3
16,72,3
16,73,3
16,74,3
16,75,3
20,1,3
20,2,3
20,3,3
20,4,3
20,5,3
20,6,3
20,7,3
20,8,3
20,9,3
20,10,3
20,11,3
20,12,3
20,13,3
20,14,3
20,15,3
20,16,3
20,17,3
20,18,3
20,19,3
20,20,3
20,21,3
20,22,3
20,23,3
20,24,3
20,25,3
20,26,3
20,27,3
20,28,3
20,29,3
20,30,3
20,31,3
20,32,3
20,33,3
20,34,3
20,35,3
20,36,3
20,37,3
20,38,3
20,39,3
20,40,3
20,41,3
20,42,3
20,43,3
20,44,3
20,45,3
20,46,3
20,47,3
20,48,3
20,49,3
20,50,3
20,51,3
20,52,3
20,53,3
20,54,3
20,55,3
20,56,3
20,57,3
20,58,3
20,59,3
20,60,3
20,61,3
20,62,3
20,63,3
20,64,3
20,65,3
20,66,3
20,67,3
20,68,3
20,69,3
20,70,3
20,71,3
20,72,3
20,73,3
20,74,3
20,75,3
21,1,3
21,2,3
21,3,3
21,4,3
21,5,3
21,6,3
21,7,3
21,8,3
21,9,3
21,10,3
21,11,3
21,12,3
21,13,3
21,14,3
21,15,3
21,16,3
21,17,3
21,18,3
21,19,3
21,20,3
21,21,3
21,22,3
21,23,3
21,24,3
21,25,3
21,26,3
21,27,3
21,28,3
21,29,3
21,30,3
21,31,3
21,32,3
21,33,3
21,34,3
21,35,3
21,36,3
21,37,3
21,38,3
21,39,3
21,40,3
21,41,3
21,42,3
21,43,3
21,44,3
21,45,3
21,46,3
21,47,3
21,48,3
21,49,3
21,50,3
21,51,3
21,52,3
21,53,3
21,54,3
21,55,3
21,56,3
21,57,3
21,58,3
21,59,3
21,60,3
21,61,3
21,62,3
21,63,3
21,64,3
21,65,3
21,66,3
21,67,3
21,68,3
21,69,3
21,70,3
21,71,3
21,72,3
21,73,3
21,74,3
21,75,3
22,1,3
22,2,3
22,3,3
22,4,3
22,5,3
22,6,3
22,7,3
22,8,3
22,9,3
22,10,3
22,11,3
22,12,3
22,13,3
22,14,3
22,15,3
22,16,3
22,17,3
22,18,3
22,19,3
22,20,3
22,21,3
22,22,3
22,23,3
22,24,3
22,25,3
22,26,3
22,27,3
22,28,3
22,29,3
22,30,3
22,31,3
22,32,3
22,33,3
22,34,3
22,35,3
22,36,3
22,37,3
22,38,3
22,39,3
22,40,3
22,41,3
22,42,3
22,43,3
22,44,3
22,45,3
22,46,3
22,47,3
22,48,3
22,49,3
22,50,3
22,51,3
22,52,3
22,53,3
22,54,3
22,55,3
22,56,3
22,57,3
22,58,3
22,59,3
22,60,3
22,61,3
22,62,3
22,63,3
22,64,3
22,65,3
22,66,3
22,67,3
22,68,3
22,69,3
22,70,3
22,71,3
22,72,3
22,73,3
22,74,3
22,75,5
23,1,3
23,2,3
23,3,3
23,4,3
23,5,3
23,6,3
23,7,3
23,8,3
23,9,3
23,10,3
23,11,3
23,12,3
23,13,3
23,14,3
23,15,3
23,16,3
